user_id,name,email,age
00234e50-34eb-4ce2-94ec-26e3fa749796,Dan Altenwerth Jr.,Molly59@gmail.com,67
006bfede-724d-4cdd-a2a6-59700f40d0da,Glenda Wisozk,Miriam21@gmail.com,119
006e1f7f-90c2-45ad-8c1d-1275d594cc88,Daniel Fahey IV,Delia.Lesch11@hotmail.com,49
00af05c9-0a86-419e-8c2d-5fb7e899ae1c,Ronnie Bechtelar,Sandra19@yahoo.com,22
00cc08cc-62f4-4da1-b8e4-f5d9ef5dbbd4,Alma Bechtelar,Shelly_Balistreri22@hotmail.com,102
0139073f-a74c-4b5c-8b59-91d2106d9008,Joann Hessel,Freda.Morissette@yahoo.com,33
018c461e-85c9-4733-91cf-44e13c8e6b91,Miss Leif Lockman,Koby.Sanford@hotmail.com,87
019df708-b478-4e4f-81b0-674668c18466,Jamie Quigley,Kira_Schmeler4@hotmail.com,66
01e66723-955b-4851-a641-2b28df240b5a,Kayla Reinger,Dejah.Huel@gmail.com,109
01ee441f-bcfd-4b07-af5d-4e06d949d2c4,Eula Halvorson,Kristin9@hotmail.com,51
